Record Id,Account Owner.id,Account Owner,Rating,entity_name,Phone,Account Site,Parent Account.id,Parent Account,Website,Ticker Symbol,Industry,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,address,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,postal_code,Shipping Code,Billing Country,Shipping Country,Description,Last Activity Time,Tag,Source,Product Prospect USP,Brands 1 To G,Brands R To Z,Brands H To Q,All Brands,Company Name,Other Brands,GST Number,Company Registered Number,Bank Account Number,Bank Name,SWIFT Code,Last Closed Won Date,Last Closed Lost Date,No. of Closed Won Deals,Change Log Time,Locked,Last Enriched Time,Enrich Status,Country,Category,Business type,Other Category (Pls Specify),Connected To.module,Connected To.id
zcrm_3877682000000437072,zcrm_3877682000000308019,Mace Goh,,3M Technologies,6564507852,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,1 Yishun Ave 7,,Singapore,,Singapore,,768923,,Singapore,,,2/5/2020 14:10,,,,,,,,3M Technologies (S) Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437073,zcrm_3877682000000308019,Mace Goh,,3Pm.Sg,6596582362,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,17 Taman Mas Merah,,Singapore,,Singapore,,128146,,Singapore,,,2/5/2020 14:10,,,,,,,,3PM.SG,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437074,zcrm_3877682000000241001,Faith Chua,,A.Menarini,6564947200,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"30 Pasir Panjang Road, #08-32 Mapletree Business City",,Singapore,,Singapore,,117440,,Singapore,,,2/5/2020 14:10,,,,,,,,A.Menarini Singapore Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437075,zcrm_3877682000000325001,Liling Koa,,Aafiya Essentials,6594308425,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000325001,Liling Koa,4/16/2019 17:28,3/17/2020 11:21,"80 Changi Road, #01-13 Centropod@Changi",,Singapore,,Singapore,,419715,,Singapore,,,3/26/2020 12:27,,,,,,,,Aafiya Essentials,,,,,,,3/17/2020,,,,FALSE,,,,,,,,
zcrm_3877682000000437077,zcrm_3877682000000308019,Mace Goh,,Acqua Vida,6588769984,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,10/14/2020 0:29,39 Woodlands Close #05-66 Mega@Woodlands,,Singapore,,Singapore,,757856,,Singapore,,,10/14/2020 0:29,,,,,,,,Acqua Vida,,,,,,,3/17/2020,,,,FALSE,,,,,,,,
zcrm_3877682000000437078,zcrm_3877682000000241001,Faith Chua,,Active Energy,6596816088,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,6 Harper Road Leong Huat Building #03-08,,Singapore,,Singapore,,369674,,Singapore,,,2/5/2020 14:10,,,,,,,,Active Energy Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437079,zcrm_3877682000000323001,Lu Yi Lim,,Activ health,6596204112,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,116 Middle Road Icb Enterprise House #05-01,,Singapore,,Singapore,,188972,,Singapore,,,2/5/2020 14:10,,,,,,,,Activ Health (S) Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437081,zcrm_3877682000000325001,Liling Koa,,Advisors Clique,6586880544,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000325001,Liling Koa,4/16/2019 17:28,2/27/2024 10:02,"1 Pickering Street, #07-03/04 Great Eastern Centre",,Singapore,,Singapore,,48659,,Singapore,,,7/22/2024 10:23,,,,,,,,Advisors' Clique,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437082,zcrm_3877682000000241001,Faith Chua,,Afdhall Babies,6596969202,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,,,Singapore,,Singapore,,,,Singapore,,,2/5/2020 14:10,,,,,,,,Afdhall Babies,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437084,zcrm_3877682000000308019,Mace Goh,,SP-QO Evelyn Jerald,6590022094,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,7/12/2021 9:41,9 Tampines Grande #02-11 To 22,,Singapore,,Singapore,,528735,,Singapore,,,11/25/2022 16:35,,,,,,,,SP-QO Evelyn Jerald,,,,,,,3/17/2020,4/19/2020,,,FALSE,,,,,,,,
zcrm_3877682000000437085,zcrm_3877682000000241001,Faith Chua,,AL&S Enterprise,6596932287,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,81 Ubi Ave 4 #03-05/06,,Singapore,,Singapore,,408830,,Singapore,,,2/5/2020 14:10,,,,,,,,AL&S Enterprise Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437086,zcrm_3877682000000241001,Faith Chua,,Album Networks,6563230111,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,60 Kaki Bukit Place #02-09 Eunos Techpark,,Singapore,,Singapore,,415979,,Singapore,,,2/5/2020 14:10,,,,,,,,Album Networks Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437088,zcrm_3877682000000323001,Lu Yi Lim,,Alkurma Sg,,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,449 Yishun Ring Road #08-100,,Singapore,,Singapore,,760477,,Singapore,,,2/5/2020 14:10,,,,,,,,Alkurma Sg,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437089,zcrm_3877682000000323001,Lu Yi Lim,,All Babies Are Cute,6581114098,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"637C Punggol Drive, #15-407",,Singapore,,Singapore,,823637,,Singapore,,,2/5/2020 14:10,,,,,,,,All Babies Are Cute,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437092,zcrm_3877682000000241001,Faith Chua,,Alphamart,6596682777,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,22 Sin Ming Lane #06-76 Midview City,,Singapore,,Singapore,,573969,,Singapore,,,2/5/2020 14:10,,,,,,,,Alphamart,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437094,zcrm_3877682000000241001,Faith Chua,,Altitude Alliance,6591150432,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"438A Alexandra Road, #02-03 Alexandra Technopark, Block A",,Singapore,,Singapore,,119967,,Singapore,,,2/5/2020 14:10,,,,,,,,Altitude Alliance Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437095,zcrm_3877682000000308019,Mace Goh,,American Express International,6563176228,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,5/4/2021 8:50,"20 (West) Pasir Panjang Road, #08-00 Mapletree Business City Block C",,Singapore,,Singapore,,117439,,Singapore,,,5/4/2021 8:50,,,,,,,,American Express International Inc,,,,,,,3/17/2020,,,,FALSE,,,,,,,,
zcrm_3877682000000437098,zcrm_3877682000000241001,Faith Chua,,Arabelle,6591461279,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,6 Swiss View Road La Suisse,,Singapore,,Singapore,,288012,,Singapore,,,2/5/2020 14:10,,,,,,,,Arabelle,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437101,zcrm_3877682000000323001,Lu Yi Lim,,Ashley Low Photography,6567024252,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"67 Ubi Road 1, #08-15 Oxley Bizhub",,Singapore,,Singapore,,408730,,Singapore,,,8/12/2025 11:57,,,,,,,,Ashley Low Photography,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437102,zcrm_3877682000000323001,Lu Yi Lim,,Asia Chiropractic and Wellness,6586848500,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,175A Bencoolen Street #06-07 Burlington Square,,Singapore,,Singapore,,189650,,Singapore,,,2/5/2020 14:10,,,,,,,,Asia Chiropractic and Wellness Singapore,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437103,zcrm_3877682000000323001,Lu Yi Lim,,Asia Placement Global,6582281228,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"545, Orchard Road, #06-05 Far East Shopping Centre",,Singapore,,Singapore,,238882,,Singapore,,,2/5/2020 14:10,,,,,,,,Asia Placement Global Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437105,zcrm_3877682000000308019,Mace Goh,,Aspire Alliance,6598772233,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,103 Penang Road #11-05/06,,Singapore,,Singapore,,238467,,Singapore,,,2/5/2020 14:10,,,,,,,,Aspire Alliance Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437106,zcrm_3877682000000323001,Lu Yi Lim,,Assisted Living,,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"84 Genting Lane, #05-05 Cityneon Design Centre, Singapore 349584",,Singapore,,Singapore,,349584,,Singapore,,,8/12/2025 12:05,,,,,,,,Assisted Living Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437107,zcrm_3877682000000241001,Faith Chua,,ATZ Care,60102209562,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/18/2020 14:02,"17-2A, Ukay Boulevard, Jalan Lingkaran Tengah 2 (Mrr2), Ulu Kelang, Ampang 68000 Malaysia",,Ampang,,Singapore,,68000,,Malaysia,,,2/18/2020 14:02,,,,,,,,ATZ Care Sdn Bhd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437108,zcrm_3877682000000241001,Faith Chua,,Autentico Taiwan,6594576149,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,5 Marine Terrace #05-274,,Singapore,,Singapore,,440005,,Singapore,,,2/5/2020 14:10,,,,,,,,Autentico Taiwan,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437109,zcrm_3877682000000323001,Lu Yi Lim,,Avennetz Technology,6566676268,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,73 Ayer Rajah Cresent #01-06,,Singapore,,Singapore,,139952,,Singapore,,,2/5/2020 14:10,,,,,,,,Avennetz Technologies Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437110,zcrm_3877682000000241001,Faith Chua,,Aviva Financial Advisers,6598455618,,,,,,Others,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,51 Cuppage Road #04-03,,Singapore,,Singapore,,229469,,Singapore,,,2/5/2020 14:10,,,,,,,,Aviva Financial Advisers Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437115,zcrm_3877682000000241001,Faith Chua,,Baby And Kids,6596117544,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,Blk 914 Hougang St 91 #09-16,,Singapore,,Singapore,,530914,,Singapore,,,2/5/2020 14:10,,,,,,,,Baby and Kids,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437116,zcrm_3877682000000241001,Faith Chua,,Baby And Tots,6582338821,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,Blk 433 Choa Chu Kang Ave 4 #04-541,,Singapore,,Singapore,,680433,,Singapore,,,8/12/2025 12:01,,,,,,,,Baby and Tots,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437117,zcrm_3877682000000241001,Faith Chua,,Baby Beachbums,6597958923,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"760 Bedok Reservoir Road, #02-08",,Singapore,,Singapore,,479245,,Singapore,,,2/5/2020 14:10,,,,,,,,Baby Beachbums,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437122,zcrm_3877682000000241001,Faith Chua,,Baby Singapore,6597608686,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/18/2020 14:02,"1 Scotts Road, #21-08 Shaw Centre",,Singapore,,Singapore,,228208,,Singapore,,,2/18/2020 14:02,,,,,,,,Baby Singapore Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437123,zcrm_3877682000000241001,Faith Chua,,Baby Wrap By Mak Yang,6590186424,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,Blk 818C Choa Chu Kang Ave 1 #02-136,,Singapore,,Singapore,,683818,,Singapore,,,2/5/2020 14:10,,,,,,,,Baby Wrap by Mak Yang,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437126,zcrm_3877682000000241001,Faith Chua,,Babytoon,,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"258 Tampines St 21 
#03-246 Singapore 520258",,Singapore,,Singapore,,520258,,Singapore,,,8/12/2025 11:56,,,,,,,,Babytoon,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437127,zcrm_3877682000000241001,Faith Chua,,Babyu International Holdings,6598210999,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,5/26/2021 15:54,339 Thomson Road,,Singapore,,Singapore,,307677,,Singapore,,,8/12/2025 12:05,,,,,,,,Babyu International Holdings Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437130,zcrm_3877682000000241001,Faith Chua,,Bambini Photography,6593836488,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,62 Ubi Road 1 #10-24 Oxley Bizhub 2,,Singapore,,Singapore,,408734,,Singapore,,,2/5/2020 14:10,,,,,,,,Bambini Photography,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437132,zcrm_3877682000000325001,Liling Koa,,Ban Soon Sewing Machine,6592340736,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,431 Clementi Ave 3 #01-328,,Singapore,,Singapore,,120431,,Singapore,,,2/5/2020 14:10,,,,,,,,Ban Soon Sewing Machine Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437137,zcrm_3877682000000241001,Faith Chua,,Bebe,6598411583,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,61 Bukit Batok Cresent #04-01C,,Singapore,,Singapore,,658078,,Singapore,,,2/5/2020 14:10,,,,,,,,Bebe Singapore Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437138,zcrm_3877682000000241001,Faith Chua,,Betel Life,6590024788,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,80 Jalan Daud #02-01 Windy Height,,Singapore,,Singapore,,419591,,Singapore,,,2/5/2020 14:10,,,,,,,,Betel Life Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437139,zcrm_3877682000000323001,Lu Yi Lim,,Betime Marketing Pte Ltd,6567663188,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,11/26/2021 9:43,"31 Bukit Batok Crescent, #01-46/47 The Splendour",,Singapore,,Singapore,,658070,,Singapore,,,8/12/2025 11:59,,,,,,,,Betime Marketing Pte Ltd,,,,,,,3/17/2020,,,,FALSE,,,,,,,,
zcrm_3877682000000437141,zcrm_3877682000000241001,Faith Chua,,Biconi,6586860778,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,158 Kallang Way #03-15A Performance Building,,Singapore,,Singapore,,349245,,Singapore,,,2/5/2020 14:10,,,,,,,,Biconi Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437142,zcrm_3877682000000323001,Lu Yi Lim,,Bing Bling,6562066624,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,8/31/2021 9:16,"18 Boon Lay Way, #03-96 Tradehub 21",,Singapore,,Singapore,,609966,,Singapore,,,8/31/2021 9:16,,,,,,,,Bingbling Pte Ltd,,,,,,,3/17/2020,,,,FALSE,,,,,,,,
zcrm_3877682000000437143,zcrm_3877682000000308019,Mace Goh,,Binky Boppy,6591553916,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,5/26/2021 15:54,Blk 120 Mcnair Road #15-87,,Singapore,,Singapore,,320120,,Singapore,,,5/26/2021 15:54,,,,,,,,Binky Boppy Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437144,zcrm_3877682000000241001,Faith Chua,,Bistos,82317500340,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,"Nth Fl., A Bldg., Woolim Lions Valley 5Cha, 302,Galmachi - Ro, Jungwon-Gu, Seongnam-Si,Gueonggi-Do Republic Of Korea",,Seongnam-Si,,Seoul,,13201,,South Korea,,,2/5/2020 14:10,,,,,,,,Bistos Co. Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437145,zcrm_3877682000000241001,Faith Chua,,Blackmores,6568051712,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/18/2020 14:03,"65 Chulia Street, #38-07 Ocbc Centre Singapore 049513",,Singapore,,Singapore,,49513,,Singapore,,,2/18/2020 14:03,,,,,,,,Blackmores Singapore Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437147,zcrm_3877682000000323001,Lu Yi Lim,,Bloomsbury Bakers,6597202779,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/18/2020 14:04,30 Bendemeer Rd #01-889,,Singapore,,Singapore,,330030,,Singapore,,,2/18/2020 14:04,,,,,,,,Bloomsbury Bakers LLP,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437148,zcrm_3877682000000325001,Liling Koa,,Blue Heart Ventures Pte Ltd,6592727718,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000044967001,YouQuan,4/16/2019 17:28,8/6/2025 9:23,413 YISHUN RING ROAD #08-1877 YISHUN GREENWALK,,Singapore,,Singapore,,760413,,Singapore,,,8/6/2025 9:23,,,,,,,,Blue Heart Ventures Pte Ltd,,,,,,,4/22/2024,,,,FALSE,,,,,,,,
